executionId,fee,lossGain,orderId,price,settleType,side,size,symbol,timestamp
715142817,0,0,3773647507,9.755,OPEN,BUY,25,ASTR,2023-08-23T19:46:20.035Z
714780824,4,0,3771585088,1074,OPEN,SELL,3.21,ATOM,2023-08-23T02:01:59.673Z
714780825,1,0,3771585089,25.245,OPEN,SELL,30,BAT,2023-08-23T02:02:00.959Z
714780826,4,0,3771585090,27311,OPEN,SELL,0.16,BCH,2023-08-23T02:02:02.244Z
715143009,1,0,3773853730,3861705,OPEN,SELL,0.0002,BTC,2023-08-23T20:45:09.259Z
715142999,0,0,3773648096,3867250,OPEN,SELL,0.0002,BTC,2023-08-23T20:35:10.308Z
715142997,0,0,3773648060,3866491,OPEN,SELL,0.0002,BTC,2023-08-23T20:30:23.054Z
715142992,1,0,3773648012,3869805,OPEN,SELL,0.0002,BTC,2023-08-23T20:25:14.235Z
715142991,1,0,3773648010,3869675,OPEN,SELL,0.0002,BTC,2023-08-23T20:25:09.315Z
715142980,0,0,3773647918,3853999,OPEN,SELL,0.0002,BTC,2023-08-23T20:20:54.069Z
715142903,1,0,3773647716,3862307,OPEN,BUY,0.0002,BTC,2023-08-23T20:00:15.581Z
715142890,1,0,3773647698,3862800,OPEN,BUY,0.0002,BTC,2023-08-23T20:00:10.210Z
715142868,1,0,3773647616,3880800,OPEN,BUY,0.0002,BTC,2023-08-23T19:50:16.117Z
715142866,1,0,3773647612,3880000,OPEN,BUY,0.0001,BTC,2023-08-23T19:50:09.543Z
715142796,1,0,3773647508,3870869,OPEN,BUY,0.0001,BTC,2023-08-23T19:45:18.431Z
715142795,1,0,3773647508,3870001,OPEN,BUY,0.0001,BTC,2023-08-23T19:45:18.431Z
715142793,1,0,3773647503,3870909,OPEN,BUY,0.0002,BTC,2023-08-23T19:45:09.417Z
715056651,1,0,3773263857,3823000,OPEN,SELL,0.0002,BTC,2023-08-23T16:40:08.346Z
715056564,1,0,3773263670,3829991,OPEN,BUY,0.0001,BTC,2023-08-23T16:25:14.649Z
715056563,1,0,3773263670,3829991,OPEN,BUY,0.0001,BTC,2023-08-23T16:25:14.649Z
715056449,1,0,3773263451,3815932,OPEN,BUY,0.0001,BTC,2023-08-23T16:20:08.626Z
715056042,1,0,3772936655,3776750,OPEN,SELL,0.0002,BTC,2023-08-23T14:40:08.405Z
715055905,0,0,3772936175,3778991,OPEN,BUY,0.0002,BTC,2023-08-23T14:00:26.669Z
714909277,0,0,3772780803,3770054,OPEN,SELL,0.0002,BTC,2023-08-23T13:14:23.352Z
714909146,0,0,3772780332,3782145,OPEN,BUY,0.0002,BTC,2023-08-23T12:33:19.273Z
714781433,1,0,3772056151,3805930,OPEN,SELL,0.0002,BTC,2023-08-23T06:10:06.002Z
714781367,0,0,3771932332,3800635,OPEN,BUY,0.0002,BTC,2023-08-23T05:31:20.218Z
714781351,0,0,3771931822,3803505,OPEN,SELL,0.0002,BTC,2023-08-23T04:59:47.275Z
714781307,0,0,3771840246,3795905,OPEN,SELL,0.0002,BTC,2023-08-23T04:22:29.390Z
714781300,0,0,3771840159,3795203,OPEN,SELL,0.0002,BTC,2023-08-23T04:16:54.239Z
714781010,0,0,3771724873,3797394,OPEN,BUY,0.0002,BTC,2023-08-23T04:01:25.986Z
714780990,1,0,3771724805,3799801,OPEN,BUY,0.0002,BTC,2023-08-23T03:55:10.119Z
714780989,1,0,3771724791,3799801,OPEN,BUY,0.0002,BTC,2023-08-23T03:55:06.084Z
714780818,1,0,3771584972,145.304,OPEN,SELL,1,DAI,2023-08-23T01:53:09.551Z
714780829,3,0,3771585092,643,OPEN,SELL,4.8,DOT,2023-08-23T02:02:06.035Z
714780828,1,0,3771585092,643,OPEN,SELL,1,DOT,2023-08-23T02:02:06.035Z
714780827,1,0,3771585092,643,OPEN,SELL,0.7,DOT,2023-08-23T02:02:06.035Z
715056100,0,0,3773098610,34.831,OPEN,SELL,28,ENJ,2023-08-23T15:00:13.366Z
714908931,0,0,3772651342,35.235,OPEN,BUY,28,ENJ,2023-08-23T11:35:38.939Z
714780820,1,0,3771584975,0.305,OPEN,SELL,10,FCR,2023-08-23T01:53:10.857Z
714780830,3,0,3771585093,893,OPEN,SELL,2.6,LINK,2023-08-23T02:02:11.511Z
715056562,1,0,3773263669,9571,OPEN,SELL,0.1,LTC,2023-08-23T16:25:09.072Z
714909361,0,0,3772781056,9341,OPEN,SELL,0.1,LTC,2023-08-23T13:31:49.759Z
714909155,0,0,3772780438,9322,OPEN,BUY,0.1,LTC,2023-08-23T12:42:08.947Z
714909145,0,0,3772780333,9380,OPEN,BUY,0.1,LTC,2023-08-23T12:32:42.031Z
714780833,1,0,3771585094,57.21,OPEN,SELL,8,MONA,2023-08-23T02:02:16.478Z
714780832,1,0,3771585094,57.29,OPEN,SELL,7,MONA,2023-08-23T02:02:16.478Z
715055904,0,0,3772936179,3.636,OPEN,BUY,274,XEM,2023-08-23T14:00:15.952Z
714780821,1,0,3771584976,17.623,OPEN,SELL,54,XLM,2023-08-23T01:53:12.516Z
715142970,0,0,3773647871,76.828,OPEN,SELL,13,XRP,2023-08-23T20:18:51.324Z
715142955,1,0,3773647840,76.823,OPEN,SELL,12,XRP,2023-08-23T20:10:14.324Z
715142954,1,0,3773647838,76.931,OPEN,SELL,13,XRP,2023-08-23T20:10:09.796Z
715142944,1,0,3773647790,77.109,OPEN,BUY,12,XRP,2023-08-23T20:05:19.079Z
715142867,1,0,3773647613,77.66,OPEN,BUY,12,XRP,2023-08-23T19:50:09.800Z
715142797,1,0,3773647510,77.292,OPEN,BUY,12,XRP,2023-08-23T19:45:20.081Z
715142794,1,0,3773647505,77.31,OPEN,BUY,12,XRP,2023-08-23T19:45:10.152Z
714908976,0,0,3772651512,75.705,OPEN,SELL,13,XRP,2023-08-23T11:53:21.373Z
714908932,0,0,3772651343,75.643,OPEN,BUY,13,XRP,2023-08-23T11:35:56.421Z
714908631,0,0,3772321251,75.357,OPEN,SELL,13,XRP,2023-08-23T08:08:42.102Z
714908622,1,0,3772321247,75.352,OPEN,BUY,13,XRP,2023-08-23T08:05:06.605Z
714780834,1,0,3771585099,76.001,OPEN,SELL,10,XRP,2023-08-23T02:02:21.941Z
714781372,0,0,3771932333,100.867,OPEN,BUY,2.6,XTZ,2023-08-23T05:34:03.614Z
714780836,2,0,3771585100,3.506,OPEN,SELL,499,XYM,2023-08-23T02:02:24.523Z
