2023-08-23 05:30:12.224439,[],"['BTC', 'ETH', 'XTZ']","['ADA', 'ASTR', 'BAT', 'QTUM', 'XEM', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 05:35:12.451706,['XTZ'],"['QTUM', 'XLM']","['BTC', 'DOT', 'ETH', 'XRP', 'XTZ', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 05:40:10.516999,['XTZ'],[],['XYM']
datetime,available_list,long_list,short_list
2023-08-23 05:45:14.557010,"['BTC', 'XTZ']","['ATOM', 'DOT', 'ENJ', 'MKR']","['ASTR', 'BAT', 'ETH', 'XEM', 'XTZ', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 05:50:10.842236,['XTZ'],[],"['ASTR', 'BTC', 'XRP', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 05:55:11.274819,['XTZ'],[],"['ASTR', 'BTC', 'ETH', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 06:00:15.104552,['XTZ'],[],"['ASTR', 'BTC', 'ETH', 'XEM', 'XRP', 'XYM']"
datetime,available_list,long_list,short_list
2023-08-23 06:05:13.073120,['XTZ'],[],"['ASTR', 'BTC', 'DOT', 'ETH', 'MKR', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 06:10:13.600441,['XTZ'],[],['BTC']
datetime,available_list,long_list,short_list
2023-08-23 06:15:12.155552,['XTZ'],[],"['ASTR', 'BTC', 'ETH', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 06:20:11.151983,['XTZ'],[],"['ASTR', 'BTC', 'ETH', 'XRP', 'XTZ']"
datetime,available_list,long_list,short_list
2023-08-23 06:25:16.373202,['XTZ'],[],"['ETH', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 06:30:12.573597,['XTZ'],[],"['ASTR', 'BTC', 'ETH', 'LTC', 'MKR', 'XRP']"
datetime,available_list,long_list,short_list
2023-08-23 06:35:10.262642,['XTZ'],[],"['ASTR', 'BCH', 'BTC', 'DOT', 'ENJ', 'ETH']"
datetime,available_list,long_list,short_list
2023-08-23 06:40:11.975779,['XTZ'],[],"['ASTR', 'BTC', 'DOT', 'MKR', 'QTUM', 'XYM']"
