openTime,open,high,low,close,volume
1688418300000,6.674,6.674,6.653,6.653,280
1688418900000,6.672,6.672,6.672,6.672,1000
1688419500000,6.6,6.6,6.6,6.6,900
1688420700000,6.643,6.643,6.643,6.643,20
1688421000000,6.6,6.6,6.553,6.553,25100
1688421300000,6.638,6.638,6.638,6.638,20
1688422200000,6.599,6.599,6.599,6.599,4446
1688422500000,6.65,6.685,6.571,6.685,80
1688423100000,6.67,6.67,6.67,6.67,2480
1688423400000,6.605,6.605,6.605,6.605,20000
1688423700000,6.67,6.67,6.67,6.67,200
1688425200000,6.654,6.654,6.654,6.654,2000
1688425800000,6.634,6.635,6.634,6.635,20000
1688426400000,6.659,6.659,6.659,6.659,776
1688427900000,6.592,6.592,6.592,6.592,40000
1688428800000,6.673,6.673,6.671,6.671,1000
1688429700000,6.678,6.678,6.678,6.678,3000
1688430300000,6.67,6.67,6.67,6.67,900
1688431200000,6.67,6.67,6.67,6.67,1200
1688433000000,6.61,6.643,6.61,6.643,10000
1688433900000,6.643,6.643,6.643,6.643,1000
1688434500000,6.643,6.643,6.643,6.643,81000
1688435100000,6.641,6.641,6.638,6.638,6740
1688435400000,6.606,6.606,6.606,6.606,40
1688437500000,6.659,6.66,6.521,6.571,12040
1688439000000,6.623,6.623,6.623,6.623,40
1688439900000,6.62,6.62,6.534,6.534,26000
1688440200000,6.604,6.604,6.604,6.604,40
1688440500000,6.613,6.623,6.613,6.623,186
1688441100000,6.623,6.632,6.623,6.632,2600
1688441700000,6.667,6.667,6.667,6.667,100
1688442300000,6.678,6.678,6.678,6.678,5980
1688442600000,6.665,6.665,6.665,6.665,800
1688442900000,6.665,6.677,6.665,6.677,6220
1688443500000,6.665,6.675,6.665,6.675,14232
1688443800000,6.675,6.675,6.675,6.675,5340
1688444100000,6.675,6.675,6.605,6.605,57488
1688444700000,6.649,6.649,6.649,6.649,1090
1688445000000,6.613,6.613,6.613,6.613,37000
1688445600000,6.643,6.643,6.643,6.643,2000
1688446800000,6.587,6.587,6.587,6.587,10400
1688447700000,6.575,6.575,6.575,6.575,3800
1688448900000,6.635,6.675,6.635,6.666,38000
1688449500000,6.634,6.634,6.634,6.634,560
1688451000000,6.641,6.641,6.641,6.641,20
1688451300000,6.577,6.641,6.577,6.641,940
1688451900000,6.645,6.645,6.645,6.645,4200
1688453100000,6.623,6.623,6.623,6.623,20
1688453400000,6.678,6.678,6.678,6.678,22020
1688454000000,6.678,6.678,6.678,6.678,24260
1688454300000,6.68,6.7,6.68,6.7,58000
1688454600000,6.7,6.7,6.698,6.698,13662
1688455500000,6.698,6.698,6.698,6.698,2000
1688455800000,6.698,6.698,6.698,6.698,2000
1688456100000,6.7,6.725,6.7,6.725,30000
1688456700000,6.701,6.702,6.701,6.702,2994
1688457000000,6.668,6.671,6.668,6.671,2000
1688457600000,6.623,6.691,6.581,6.691,34400
1688458200000,6.693,6.714,6.693,6.714,73209
1688458500000,6.623,6.623,6.601,6.601,3200
1688459400000,6.686,6.686,6.686,6.686,20
1688460300000,6.601,6.601,6.601,6.601,3040
1688460600000,6.601,6.601,6.601,6.601,1800
1688460900000,6.628,6.628,6.601,6.601,220
1688461200000,6.635,6.635,6.635,6.635,200
1688461500000,6.601,6.601,6.601,6.601,2000
1688462400000,6.665,6.665,6.649,6.649,3860
1688463300000,6.649,6.649,6.649,6.649,1600
1688463600000,6.601,6.601,6.601,6.601,2400
1688463900000,6.618,6.62,6.601,6.601,14084
1688464200000,6.601,6.632,6.601,6.629,12262
1688464500000,6.601,6.601,6.521,6.521,300000
1688465100000,6.588,6.588,6.588,6.588,2000
1688465700000,6.588,6.588,6.588,6.588,100
1688466000000,6.522,6.522,6.522,6.522,6240
1688466600000,6.588,6.588,6.588,6.588,400
1688466900000,6.588,6.588,6.588,6.588,2000
1688467200000,6.521,6.521,6.521,6.521,30000
1688468400000,6.588,6.588,6.588,6.588,32000
1688468700000,6.588,6.588,6.588,6.588,20
1688469300000,6.581,6.581,6.568,6.568,5076
1688471100000,6.623,6.672,6.623,6.672,10000
1688474400000,6.606,6.606,6.606,6.606,20100
1688474700000,6.606,6.606,6.6,6.606,22378
1688476200000,6.6,6.6,6.6,6.6,12144
1688476500000,6.6,6.6,6.6,6.6,7984
1688478900000,6.634,6.636,6.634,6.636,1200
1688479200000,6.549,6.6,6.537,6.6,7120
1688479500000,6.623,6.627,6.623,6.627,54134
1688479800000,6.614,6.614,6.538,6.538,106932
1688481300000,6.613,6.613,6.6,6.6,2304
1688483100000,6.611,6.611,6.597,6.597,3690
1688483700000,6.608,6.608,6.608,6.608,6200
1688484600000,6.532,6.532,6.531,6.531,12000
1688484900000,6.566,6.566,6.566,6.566,40
1688485500000,6.531,6.531,6.521,6.521,7240
1688485800000,6.521,6.521,6.501,6.501,1000
1688486100000,6.564,6.564,6.564,6.564,7120
1688491800000,6.526,6.526,6.526,6.526,30000
1688492400000,6.51,6.51,6.51,6.51,21000
1688497800000,6.51,6.51,6.508,6.508,6164
1688498400000,6.508,6.508,6.505,6.505,8000
1688499000000,6.526,6.526,6.526,6.526,60
1688503500000,6.575,6.575,6.575,6.575,20
1688504100000,6.569,6.569,6.569,6.569,40
