openTime,signal,return,signal_return
1686085200000,0,0.0,0.0
1686085500000,0,0.0020019761313875527,0.0
1686085800000,0,-0.00020396459563209158,-0.0
1686086100000,1,-0.0010830334580420578,-0.0010830334580420578
1686086400000,1,0.0003444395910483055,0.0003444395910483055
1686086700000,-1,-0.0018678656083274893,0.0018678656083274893
1686087000000,-1,0.0005239063243639481,-0.0005239063243639481
1686087300000,-1,0.002769244774363858,-0.002769244774363858
1686087600000,-1,-0.0006901355386509839,0.0006901355386509839
1686087900000,1,0.001120765425540577,0.001120765425540577
1686088200000,1,-0.0007414762015744211,-0.0007414762015744211
1686088500000,-1,0.0008010139898954682,-0.0008010139898954682
1686088800000,1,-0.0005094934620454265,-0.0005094934620454265
1686089100000,-1,2.6208853590542027e-05,-2.6208853590542027e-05
1686089400000,1,-0.0003704292639638136,-0.0003704292639638136
1686089700000,-1,0.0,-0.0
1686090000000,-1,-0.00031784711821336516,0.00031784711821336516
1686090300000,-1,0.0015170747910754213,-0.0015170747910754213
1686090600000,1,0.0007641508408909347,0.0007641508408909347
1686090900000,1,0.0003305984774220692,0.0003305984774220692
1686091200000,1,-0.0004947491152091882,-0.0004947491152091882
1686091500000,1,0.0019015429351150186,0.0019015429351150186
1686091800000,1,0.0,0.0
1686092100000,1,-0.00031113019017359455,-0.00031113019017359455
1686092400000,1,-0.0010459908097906966,-0.0010459908097906966
1686092700000,-1,0.0006180616832117332,-0.0006180616832117332
1686093000000,-1,0.0004223864899123089,-0.0004223864899123089
1686093300000,-1,0.0008442381252804908,-0.0008442381252804908
1686093600000,1,0.004137000421159173,0.004137000421159173
1686093900000,1,-0.0025559724238403544,-0.0025559724238403544
1686094200000,1,-0.002484125540591753,-0.002484125540591753
1686094500000,1,0.0009030975432730443,0.0009030975432730443
1686094800000,-1,0.0002636783139865524,-0.0002636783139865524
1686095100000,-1,-5.800326401810579e-05,5.800326401810579e-05
1686095400000,1,0.0013621880371018503,0.0013621880371018503
1686095700000,1,-0.0020268291553783005,-0.0020268291553783005
1686096000000,1,0.002421437894356314,0.002421437894356314
1686096300000,1,-0.0002806063642877715,-0.0002806063642877715
1686096600000,-1,-0.0022094307602010086,0.0022094307602010086
1686096900000,1,0.000685253286977002,0.000685253286977002
1686097200000,-1,0.0003999096895367697,-0.0003999096895367697
1686097500000,-1,0.00012255071539490252,-0.00012255071539490252
1686097800000,1,0.001043049592005396,0.001043049592005396
1686098100000,1,0.0011731836175364657,0.0011731836175364657
1686098400000,1,-0.001315353605691524,-0.001315353605691524
1686098700000,1,-0.0007717563898205619,-0.0007717563898205619
1686099000000,1,-0.0016007239638097916,-0.0016007239638097916
1686099300000,-1,-0.000792079249332682,0.000792079249332682
1686099600000,-1,-0.0016664696701834613,0.0016664696701834613
1686099900000,-1,-0.001396854604265723,0.001396854604265723
1686100200000,-1,0.0003655522661240073,-0.0003655522661240073
1686100500000,-1,-0.00203607743804041,0.00203607743804041
1686100800000,-1,0.001188215588721737,-0.001188215588721737
1686101100000,-1,0.00039355028576558654,-0.00039355028576558654
1686101400000,-1,-0.0006586546058676061,0.0006586546058676061
1686101700000,1,0.0018465812180532754,0.0018465812180532754
1686102000000,1,-0.0006843551781761732,-0.0006843551781761732
1686102300000,1,-0.0002076494461049195,-0.0002076494461049195
1686102600000,1,-5.350850216939067e-05,-5.350850216939067e-05
1686102900000,-1,-0.0012988563939164864,0.0012988563939164864
1686103200000,-1,0.0006332044332232426,-0.0006332044332232426
1686103500000,-1,-0.0007127810854755596,0.0007127810854755596
1686103800000,-1,-0.0008146985866984238,0.0008146985866984238
1686104100000,-1,-0.0010725923947755595,0.0010725923947755595
1686104400000,-1,-0.0012477576820716866,0.0012477576820716866
1686104700000,-1,-3.6456225989049066e-05,3.6456225989049066e-05
1686105000000,-1,-0.001427893750832748,0.001427893750832748
