,openTime,signal,return
0,1685480400000,0,0.0
1,1685480700000,0,-0.0
2,1685481000000,0,0.0
3,1685481300000,0,0.0
4,1685481600000,0,-0.0
5,1685481900000,1,-1.5424164524380224e-05
6,1685482200000,1,-0.0006884424952570134
7,1685482500000,1,-0.00037610019597345
8,1685482800000,1,-0.0035480467342632327
9,1685483100000,-1,-0.0006151838849715041
10,1685483400000,-1,-0.0005569901881454786
11,1685483700000,-1,0.0012002931470304068
12,1685484000000,-1,-0.0006715049458922984
13,1685484300000,-1,-0.0
14,1685484600000,-1,-0.0003716608594657167
15,1685484900000,-1,-0.0004796255875993971
16,1685485200000,-1,1.1604521018226954e-05
17,1685485500000,-1,-0.000540776954907507
18,1685485800000,1,-2.6031927514713615e-05
19,1685486100000,1,0.0004562149623041911
20,1685486400000,1,0.00012366289494836202
21,1685486700000,1,0.00020607934054606147
22,1685487000000,1,-0.0002565159163490094
23,1685487300000,1,-0.0004791586592213237
24,1685487600000,1,-0.00032706657621861535
25,1685487900000,1,-0.0003594010841331263
26,1685488200000,-1,0.0008977940984932209
27,1685488500000,-1,-0.00041483814342502257
28,1685488800000,-1,-1.1095608796640732e-05
29,1685489100000,-1,-1.29017275414256e-05
30,1685489400000,-1,-0.0005284479422009714
31,1685489700000,-1,-0.00012765799417580048
32,1685490000000,-1,-0.00024677395273853264
33,1685490300000,1,-0.0012706883217323828
34,1685490600000,1,0.00048243824132288005
35,1685490900000,1,-0.0002843181266996009
36,1685491200000,1,-0.00040182325041715483
37,1685491500000,-1,-0.0002734116114992968
38,1685491800000,-1,-0.0008065889932220571
39,1685492100000,-1,0.00018465672804268696
40,1685492400000,-1,0.0002447927374199521
41,1685492700000,-1,0.00018086588575261242
42,1685493000000,1,0.0007470776875635465
43,1685493300000,1,-0.0001689017569392881
44,1685493600000,1,0.0001998793502451246
45,1685493900000,1,0.00048631886530414725
46,1685494200000,1,-0.00025798969072166056
47,1685494500000,1,0.0
48,1685494800000,1,2.577984681284562e-07
49,1685495100000,1,0.0002577984016498558
50,1685495400000,1,0.0005798969072166038
51,1685495700000,1,0.0004906948290295254
52,1685496000000,1,0.0007960547403489393
53,1685496300000,1,-0.0004905785508355631
54,1685496600000,1,0.0001567430392193092
55,1685496900000,1,-5.121014197562168e-05
56,1685497200000,1,-0.00015466769606897746
57,1685497500000,1,-0.000467420940612584
58,1685497800000,1,-0.0005106438206561315
59,1685498100000,1,-0.0018166359642908247
60,1685498400000,-1,0.0026977783593883364
61,1685498700000,-1,-0.0013535732651939192
62,1685499000000,-1,-0.0009919678517640307
63,1685499300000,-1,-0.00024116201878943144
64,1685499600000,-1,-0.0007847492248664878
65,1685499900000,-1,0.0010547116515329247
66,1685500200000,-1,0.0002757694691180035
67,1685500500000,-1,-0.0001472209336803587
68,1685500800000,1,-0.0002473980593455938
69,1685501100000,1,0.0001128806946630867
70,1685501400000,1,5.6563116560548465e-05
71,1685501700000,-1,0.0004287190082644665
72,1685502000000,-1,0.000785460708878305
73,1685502300000,-1,-0.0007439298735552047
74,1685502600000,-1,0.0003891294894264874
75,1685502900000,-1,-0.0006418224759872082
76,1685503200000,-1,-0.00017901638632822348
77,1685503500000,-1,-0.0002203082921405919
78,1685503800000,1,0.0003096031192708626
79,1685504100000,1,-5.395081286319048e-05
80,1685504400000,1,0.00016263562649565522
81,1685504700000,1,-0.0006894113031448157
82,1685505000000,1,-0.00041920122407790306
83,1685505300000,1,-0.0004992214522590022
84,1685505600000,-1,-0.0009322420809836363
85,1685505900000,-1,0.00021360126042824223
86,1685506200000,-1,-0.0002911487925334466
87,1685506500000,-1,0.00020919421487608503
88,1685506800000,-1,-0.00015757428594298517
89,1685507100000,-1,0.0004184100418409553
