,openTime,signal,return,signal_return
0,1686171600000,0,-0.001771151571988827,-0.0
1,1686171900000,0,0.0031240987030028665,0.0
2,1686172200000,0,0.000805715337023862,0.0
3,1686172500000,0,0.0,0.0
4,1686172800000,0,0.0005766531106395805,0.0
5,1686173100000,1,-0.00010587445643156116,-0.00010587445643156116
6,1686173400000,1,-0.00047077865420793244,-0.00047077865420793244
7,1686173700000,1,-0.0019485278757888334,-0.0019485278757888334
8,1686174000000,1,-0.00021013459224920647,-0.00021013459224920647
9,1686174300000,1,-0.002704626654832103,-0.002704626654832103
10,1686174600000,-1,-0.005188680318504938,0.005188680318504938
11,1686174900000,-1,0.0015931133875766472,-0.0015931133875766472
12,1686175200000,-1,0.0014260978275150383,-0.0014260978275150383
13,1686175500000,-1,0.00289455807906436,-0.00289455807906436
14,1686175800000,-1,0.0007483641045770167,-0.0007483641045770167
15,1686176100000,-1,-0.0011893656698485976,0.0011893656698485976
16,1686176400000,-1,-0.0016395556548456972,0.0016395556548456972
17,1686176700000,1,0.00013533122745329747,0.00013533122745329747
18,1686177000000,1,-0.00048662699022090683,-0.00048662699022090683
19,1686177300000,1,-0.00024584479014271493,-0.00024584479014271493
20,1686177600000,1,0.0005293324498160197,0.0005293324498160197
21,1686177900000,-1,0.0005187506226158765,-0.0005187506226158765
22,1686178200000,-1,-0.001073865001011112,0.001073865001011112
23,1686178500000,-1,0.0017289013854550229,-0.0017289013854550229
24,1686178800000,-1,-0.0006341618300775356,0.0006341618300775356
25,1686179100000,1,-0.0011772461939518085,-0.0011772461939518085
26,1686179400000,1,0.0018357908341495317,0.0018357908341495317
27,1686179700000,1,0.00017526781549434352,0.00017526781549434352
28,1686180000000,1,2.708692940578494e-07,2.708692940578494e-07
29,1686180300000,1,0.0009811487048570562,0.0009811487048570562
30,1686180600000,1,0.00012717561643878526,0.00012717561643878526
31,1686180900000,1,-0.0004903916357140216,-0.0004903916357140216
32,1686181200000,1,0.00013534180593693368,0.00013534180593693368
33,1686181500000,1,-0.0002642042270719767,-0.0002642042270719767
34,1686181800000,1,-0.0002501921131052062,-0.0002501921131052062
35,1686182100000,1,0.0001697800458909385,0.0001697800458909385
36,1686182400000,1,-0.00025102471425438434,-0.00025102471425438434
37,1686182700000,-1,0.0008703285531877168,-0.0008703285531877168
38,1686183000000,-1,-0.0005954773671263461,0.0005954773671263461
39,1686183300000,-1,3.0323779449888846e-05,-3.0323779449888846e-05
40,1686183600000,-1,0.000641998466855356,-0.000641998466855356
41,1686183900000,1,0.0004793354317139066,0.0004793354317139066
42,1686184200000,1,0.0011379068501092674,0.0011379068501092674
43,1686184500000,1,-0.0013193888935543365,-0.0013193888935543365
44,1686184800000,1,-5.4369884831786895e-05,-5.4369884831786895e-05
45,1686185100000,1,0.0008655095805157213,0.0008655095805157213
46,1686185400000,1,-0.00036493144424515003,-0.00036493144424515003
47,1686185700000,1,-0.0002568834642017247,-0.0002568834642017247
48,1686186000000,1,0.0011622094095737558,0.0011622094095737558
49,1686186300000,1,0.0010078657845785052,0.0010078657845785052
50,1686186600000,1,9.930065900082581e-05,9.930065900082581e-05
51,1686186900000,1,0.0005117277342525058,0.0005117277342525058
52,1686187200000,1,0.0005397682902062572,0.0005397682902062572
53,1686187500000,1,-0.0007603968451291753,-0.0007603968451291753
54,1686187800000,1,-2.697468520437319e-07,-2.697468520437319e-07
55,1686188100000,1,-0.0001292171077155805,-0.0001292171077155805
56,1686188400000,1,-0.00018886505647896222,-0.00018886505647896222
57,1686188700000,1,-0.000927305151846493,-0.000927305151846493
58,1686189000000,-1,-3.133012307864321e-05,3.133012307864321e-05
59,1686189300000,-1,-1.3234571022471768e-05,1.3234571022471768e-05
60,1686189900000,-1,-0.0006481680968079058,0.0006481680968079058
61,1686190200000,-1,-0.0007013267637322057,0.0007013267637322057
62,1686190500000,-1,0.0012414509946255907,-0.0012414509946255907
63,1686190800000,-1,0.0,-0.0
64,1686191100000,-1,0.000433995491584529,-0.000433995491584529
65,1686191400000,-1,-0.00021494871152694426,0.00021494871152694426
66,1686191700000,-1,6.454347444089127e-05,-6.454347444089127e-05
67,1686192000000,1,-0.0013644010244663626,-0.0013644010244663626
68,1686192300000,1,-0.0002439453163508478,-0.0002439453163508478
69,1686192600000,1,-0.00029703372281529,-0.00029703372281529
70,1686192900000,-1,1.325748428968872e-05,-1.325748428968872e-05
71,1686193200000,-1,-0.0007445852475226253,0.0007445852475226253
72,1686193500000,-1,-0.0004869461693012764,0.0004869461693012764
73,1686193800000,-1,0.0012180033698001482,-0.0012180033698001482
74,1686194100000,-1,-0.002166576935452496,0.002166576935452496
75,1686194400000,-1,-0.0021090548940784727,0.0021090548940784727
76,1686194700000,-1,0.00020893244697724203,-0.00020893244697724203
77,1686195000000,-1,0.0,-0.0
78,1686195300000,-1,0.0005431830660441372,-0.0005431830660441372
79,1686195600000,-1,0.0,-0.0
80,1686195900000,-1,0.001020386098391042,-0.001020386098391042
81,1686196200000,-1,0.0008784344911166206,-0.0008784344911166206
82,1686196500000,-1,0.0003414051292702153,-0.0003414051292702153
83,1686196800000,1,0.0009710124067429098,0.0009710124067429098
84,1686197100000,1,0.00029929109366962715,0.00029929109366962715
85,1686197400000,1,1.2987097318944556e-05,1.2987097318944556e-05
86,1686197700000,1,-0.0008461370938263235,-0.0008461370938263235
87,1686198000000,1,-0.00035723818700874785,-0.00035723818700874785
88,1686198300000,1,0.001203375280835059,0.001203375280835059
89,1686198600000,1,-0.00027059937927266883,-0.00027059937927266883
