openTime,open,high,low,close,volume
1692653400000,38.818,38.818,38.818,38.818,200
1692654300000,38.891,38.891,38.891,38.891,800
1692655500000,38.89,38.89,38.89,38.89,200
1692655800000,38.816,38.816,38.679,38.679,255
1692656400000,38.829,38.843,38.829,38.843,1909
1692661800000,38.412,38.412,38.407,38.407,2044
1692662100000,38.576,38.576,38.576,38.576,4
1692664800000,38.448,38.448,38.448,38.448,505
1692669900000,38.447,38.447,38.447,38.447,200
1692675600000,38.45,38.45,38.45,38.45,40
1692675900000,38.45,38.45,38.45,38.45,2
1692676200000,38.45,38.45,38.45,38.45,10
1692678900000,38.447,38.447,38.187,38.406,40334
1692679500000,38.421,38.427,38.421,38.427,207
1692680700000,38.195,38.195,38.195,38.195,1002
1692681000000,38.195,38.195,38.195,38.195,4
1692681300000,38.19,38.19,38.086,38.086,718
1692681600000,38.11,38.11,38.008,38.008,400
1692681900000,38.112,38.124,38.112,38.124,256
1692685200000,38.175,38.222,38.175,38.222,148
1692685800000,38.222,38.222,38.222,38.222,460
1692686400000,38.02,38.02,38.02,38.02,2800
1692688200000,38.148,38.148,38.148,38.148,200
1692691500000,38.197,38.197,38.197,38.197,200
1692695100000,38.197,38.271,38.197,38.271,783
1692697500000,38.19,38.19,38.19,38.19,100
1692698100000,38.19,38.19,38.19,38.19,2700
1692698400000,38.189,38.205,38.189,38.205,17459
1692698700000,38.001,38.001,38.001,38.001,180
1692699600000,38.01,38.01,38.01,38.01,82
1692699900000,38.005,38.005,38.005,38.005,2
1692700500000,38,38,38,38,2376
1692700800000,38.005,38.005,37.822,37.988,4882
1692701100000,37.989,37.989,37.989,37.989,250
1692701700000,37.988,37.988,37.988,37.988,20
1692702900000,37.8,37.82,37.8,37.82,3118
1692703200000,37.827,37.827,37.8,37.8,534
1692703500000,37.8,37.81,37.8,37.81,514
1692703800000,37.896,37.896,37.896,37.896,50
1692704700000,37.911,37.911,37.911,37.911,125
1692706200000,37.932,37.932,37.932,37.932,1000
1692706800000,38.005,38.005,38.005,38.005,22
1692707100000,37.92,37.92,37.861,37.861,21588
1692707400000,38.004,38.004,38.004,38.004,40
1692707700000,38.004,38.004,38.004,38.004,3650
1692709200000,38.004,38.004,38.004,38.004,200
1692710100000,38.004,38.004,38.004,38.004,400
1692711300000,38,38,37.7,37.788,1660
1692711600000,37.86,37.86,37.86,37.86,90
1692712200000,37.872,37.872,37.872,37.872,400
1692712500000,37.739,37.739,37.591,37.591,3200
1692712800000,37.65,37.662,37.65,37.662,2100
1692713400000,37.664,37.664,37.515,37.657,2420
1692714900000,37.68,37.686,37.68,37.686,800
1692715200000,37.704,37.704,37.404,37.404,7454
1692715500000,37.571,37.593,37.571,37.593,6532
1692716400000,37.595,37.595,37.595,37.595,200
1692716700000,37.595,37.595,37.595,37.595,170
1692717000000,37.629,37.629,37.629,37.629,20
1692717300000,37.638,37.647,37.638,37.647,625
1692717900000,37.659,37.662,37.659,37.662,48
1692718200000,37.674,37.674,37.674,37.674,80
1692721200000,37.673,37.673,37.2,37.2,1260
1692721500000,37.2,37.2,37.086,37.086,2000
1692721800000,37.251,37.284,37.251,37.284,357
1692722400000,37.593,37.593,37.593,37.593,5
1692723300000,37.6,37.626,37.6,37.626,505
1692725400000,37.2,37.2,37.081,37.152,510
1692725700000,37.018,37.018,37,37,25110
1692727200000,36.993,36.994,36.993,36.994,314
1692727800000,36.912,36.912,36.912,36.912,172
1692728100000,36.907,36.907,36.907,36.907,400
1692729300000,37.355,37.355,37.355,37.355,20
1692729600000,37.364,37.364,37.364,37.364,6
1692729900000,37.17,37.17,37.17,37.17,400
1692732000000,37.308,37.308,37.308,37.308,106
1692732300000,37.288,37.288,37.288,37.288,12
1692734100000,37.247,37.247,37.247,37.247,48
1692734700000,37.135,37.135,37.126,37.126,3000
1692735300000,37.218,37.218,37.218,37.218,268
1692735600000,37.218,37.311,37.218,37.311,1401
